day_index,date,price_max,price_min,price_mean,price_std,price_range,abs_hourly_change_mean,abs_hourly_change_max,spike_count_q95,is_spike_day,is_high_vol_day,stress_regime
150,2019-05-31,60.9,37.59,48.1875,6.368097285962133,23.309999999999995,3.698695652173913,13.780000000000001,2,False,False,Normal
151,2019-06-01,75.23,45.07,58.22875,8.810641941030374,30.160000000000004,3.422173913043478,13.579999999999998,2,False,False,Normal
152,2019-06-02,72.23,38.29,56.55916666666667,10.430938895031648,33.940000000000005,3.974347826086958,11.5,2,False,False,Normal
153,2019-06-03,75.72,49.05,59.71291666666667,8.145808993996035,26.67,4.223478260869566,9.619999999999997,2,False,False,Normal
154,2019-06-04,72.17,40.39,52.41416666666667,7.741381697068693,31.78,4.194782608695653,10.370000000000005,2,False,False,Normal
155,2019-06-05,66.04,32.93,52.03125,10.077890269426865,33.11000000000001,3.910869565217392,12.54,2,False,False,Normal
156,2019-06-06,69.96,34.24,50.562083333333334,10.661070171898547,35.71999999999999,5.6091304347826085,17.840000000000003,2,False,False,Normal
157,2019-06-07,63.71,43.22,50.64958333333333,6.016744374021456,20.490000000000002,3.054782608695653,9.79,2,False,False,Normal
158,2019-06-08,59.56,44.06,49.275,5.2016368661178705,15.5,2.128695652173913,5.540000000000006,2,False,False,Normal
159,2019-06-09,66.7,40.63,52.24916666666667,8.20500479117401,26.07,3.7778260869565212,9.0,2,False,False,Normal
160,2019-06-10,63.72,35.8,43.22416666666667,7.411353755742174,27.92,3.1356521739130443,13.449999999999996,2,False,False,Normal
161,2019-06-11,77.38,33.79,52.193333333333335,12.297451367861862,43.589999999999996,4.209130434782609,15.449999999999996,2,False,False,Normal
162,2019-06-12,68.64,41.76,53.44416666666667,7.528560643464249,26.880000000000003,3.110000000000001,6.619999999999997,2,False,False,Normal
163,2019-06-13,63.51,36.49,49.74541666666667,8.331672403319267,27.019999999999996,3.534347826086956,9.439999999999998,2,False,False,Normal
164,2019-06-14,66.66,37.56,50.76208333333333,8.611348921836997,29.099999999999994,4.448260869565217,9.550000000000004,2,False,False,Normal
165,2019-06-15,53.04,32.96,42.8525,5.727718454642492,20.08,3.577826086956523,7.940000000000005,2,False,False,Normal
166,2019-06-16,60.71,25.6,40.02625,9.88300641307439,35.11,3.603913043478261,10.139999999999997,2,False,False,Normal
167,2019-06-17,68.05,36.89,49.223749999999995,8.861435653878326,31.159999999999997,3.887826086956521,13.000000000000007,2,False,False,Normal
168,2019-06-18,68.04,45.02,54.28958333333333,6.56561165014957,23.020000000000003,4.201739130434783,9.549999999999997,2,False,False,Normal
169,2019-06-19,72.33,44.02,56.37416666666667,7.904641408508136,28.309999999999995,4.016086956521739,10.719999999999999,2,False,False,Normal
170,2019-06-20,68.71,43.78,56.37125,5.792770090905297,24.929999999999993,3.0117391304347825,8.339999999999996,2,False,False,Normal
171,2019-06-21,58.94,40.99,51.47666666666667,5.637487620089877,17.949999999999996,2.266086956521739,6.049999999999997,2,False,False,Normal
172,2019-06-22,53.33,35.94,43.94916666666666,4.897971112051678,17.39,2.573478260869565,7.640000000000001,2,False,False,Normal
173,2019-06-23,62.15,31.31,41.137499999999996,9.068533868368089,30.84,3.04,11.900000000000006,2,False,False,Normal
174,2019-06-24,58.69,32.95,47.97208333333333,7.810133873576585,25.739999999999995,2.8891304347826074,9.229999999999997,2,False,False,Normal
175,2019-06-25,63.0,40.42,48.872083333333336,6.654551223993517,22.58,2.9417391304347826,8.880000000000003,2,False,False,Normal
176,2019-06-26,75.2,44.42,58.84,9.724114355559589,30.78,4.350434782608696,14.89,2,False,False,Normal
177,2019-06-27,76.84,49.0,65.1675,9.018905385235291,27.840000000000003,4.991304347826087,21.259999999999998,2,False,False,Normal
178,2019-06-28,68.0,45.0,55.25875,5.925659979753497,23.0,3.6291304347826094,10.509999999999998,2,False,False,Normal
179,2019-06-29,60.19,37.01,47.89625,6.545886071153528,23.18,3.3669565217391293,8.439999999999998,2,False,False,Normal
180,2019-06-30,66.36,34.66,45.22541666666667,9.599170244560623,31.700000000000003,3.448695652173913,11.519999999999996,2,False,False,Normal
181,2019-07-01,86.49,50.0,68.49416666666667,10.764320256277685,36.489999999999995,4.163043478260868,11.450000000000003,2,False,False,Normal
182,2019-07-02,85.01,48.77,64.48708333333333,9.763612338975628,36.24,4.694782608695653,10.119999999999997,2,False,False,Normal
183,2019-07-03,68.54,41.35,54.32,8.930386329829187,27.190000000000005,4.558695652173914,12.660000000000004,2,False,False,Normal
184,2019-07-04,66.89,45.83,53.06458333333333,5.623869918687562,21.060000000000002,3.1191304347826105,8.509999999999998,2,False,False,Normal
185,2019-07-05,76.32,47.9,57.495416666666664,9.139226957684,28.419999999999995,4.148260869565218,11.82,2,False,False,Normal
186,2019-07-06,74.14,42.25,52.29958333333334,7.469079728638169,31.89,5.0095652173913034,14.32,2,False,False,Normal
187,2019-07-07,57.96,35.95,43.15958333333333,7.159635938744536,22.009999999999998,2.8469565217391293,10.759999999999998,2,False,False,Normal
188,2019-07-08,61.18,43.07,51.58041666666667,5.9562130361399985,18.11,2.488695652173913,8.509999999999998,2,False,False,Normal
189,2019-07-09,56.25,34.88,41.60041666666667,5.380710700727883,21.369999999999997,2.8326086956521737,7.539999999999999,2,False,False,Normal
190,2019-07-10,80.51,39.07,61.137499999999996,13.54173107231061,41.440000000000005,4.9247826086956525,15.660000000000004,2,False,True,High Volatility
191,2019-07-11,59.36,32.11,45.21,7.706597963687547,27.25,3.2913043478260864,9.479999999999997,2,False,False,Normal
192,2019-07-12,63.19,42.52,51.350833333333334,5.743814000763114,20.669999999999995,2.630434782608695,6.3700000000000045,2,False,False,Normal
193,2019-07-13,54.67,39.79,45.83291666666667,4.556364377503155,14.880000000000003,2.4347826086956523,6.590000000000003,2,False,False,Normal
194,2019-07-14,54.98,34.04,41.13833333333333,6.800493375110916,20.939999999999998,1.83391304347826,5.57,2,False,False,Normal
195,2019-07-15,61.09,42.48,52.604166666666664,6.213499270813973,18.610000000000007,2.4865217391304357,10.14,2,False,False,Normal
196,2019-07-16,52.81,42.17,46.607499999999995,3.1811404162385015,10.64,1.4295652173913045,4.590000000000003,2,False,False,Normal
197,2019-07-17,58.2,42.0,48.035,4.958018538296015,16.200000000000003,2.016086956521739,6.390000000000001,2,False,False,Normal
198,2019-07-18,57.93,43.58,49.828333333333326,4.471181797541523,14.350000000000001,2.5247826086956517,6.049999999999997,2,False,False,Normal
199,2019-07-19,62.81,48.0,55.10541666666666,5.027685939455358,14.810000000000002,2.5673913043478267,8.410000000000004,2,False,False,Normal
200,2019-07-20,52.56,38.07,44.206250000000004,4.379841978983893,14.490000000000002,2.405652173913043,6.079999999999998,2,False,False,Normal
201,2019-07-21,57.05,35.38,43.35,6.330787436426639,21.669999999999995,2.295652173913043,5.140000000000001,2,False,False,Normal
202,2019-07-22,66.42,43.31,54.048750000000005,7.434587975776812,23.11,2.448260869565218,8.549999999999997,2,False,False,Normal
203,2019-07-23,65.94,42.0,53.815416666666664,7.165510982820947,23.939999999999998,3.233913043478261,8.950000000000003,2,False,False,Normal
204,2019-07-24,76.05,41.47,59.52583333333333,10.579066251499851,34.58,3.321304347826086,9.520000000000003,2,False,False,Normal
205,2019-07-25,73.14,44.7,62.0925,9.839008544077744,28.439999999999998,2.3182608695652185,9.260000000000005,2,False,False,Normal
206,2019-07-26,73.43,47.16,62.70875,8.267915100477005,26.27000000000001,3.298260869565218,10.46,2,False,False,Normal
207,2019-07-27,59.59,41.2,49.10333333333333,5.29801412070489,18.39,2.638695652173913,6.659999999999997,2,False,False,Normal
208,2019-07-28,47.77,30.2,36.974583333333335,4.616517583790758,17.570000000000004,1.9895652173913052,4.710000000000001,2,False,False,Normal
209,2019-07-29,63.59,32.46,48.72291666666666,10.12320901139583,31.130000000000003,2.981304347826087,8.689999999999998,2,False,False,Normal
210,2019-07-30,64.5,39.74,49.67291666666667,6.9910797070992166,24.759999999999998,2.971304347826087,9.100000000000001,2,False,False,Normal
