method,day_index,hour,prices_actual,prices_forecast,prices_bias_corrected,actual_demand,forecast_demand,demand_bias_corrected,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_step_system,day
bias_corrected_det,249,7,47.97,59.746504816675824,59.73198184335165,31.36,29.046190017884612,29.024806705769226,0.0,2.2699999999999974,0.0,31.316190017884608,0.0,-108.89189999999986,-1502.2376351579246,249
bias_corrected_det,249,8,47.96,64.21103637027473,64.22335994054946,35.25,32.949345031346155,32.96919729269231,0.05,0.0,0.0,32.949345031346155,0.0,0.0,-1580.2505877033616,249
bias_corrected_det,249,9,48.04,62.70760304211539,62.72058375423077,36.83,34.56671313505495,34.56765126010989,0.05,0.0,0.0,34.56671313505495,0.0,0.0,-1660.5848990080397,249
bias_corrected_det,249,10,43.83,60.78982135942307,60.75035799884615,37.27,34.47050788832417,34.434741016648346,0.05,0.0,0.0,34.47050788832417,0.0,0.0,-1510.8423607452485,249
bias_corrected_det,249,11,44.05,60.17337223403847,60.12130364807693,37.57,34.1459161362088,34.12957846241759,0.05,0.0,0.0,34.1459161362088,0.0,0.0,-1504.1276057999974,249
bias_corrected_det,249,12,44.11,56.97103437695055,56.9738732639011,37.3,33.914457253076925,33.92747564615385,0.05,10.7825,0.0,44.696957253076924,0.0,-475.616075,-1971.5827844332232,249
bias_corrected_det,249,13,43.26,59.24847452840659,59.15467238681318,37.05,31.492103654368133,31.497540638736265,0.2874999999999999,10.7825,0.0,42.274603654368136,0.0,-466.45095000000003,-1828.7993540879654,249
bias_corrected_det,249,14,44.6,56.140858005934064,56.15748283186813,37.39,31.977290941263732,31.985634512527465,0.5249999999999999,10.7825,0.0,42.75979094126373,0.0,-480.89950000000005,-1907.0866759803625,249
bias_corrected_det,249,15,44.68,59.39521185005494,59.403011590109884,37.57,35.200390928159344,35.228065316318684,0.7625,10.7825,0.0,45.98289092815934,0.0,-481.76210000000003,-2054.5155666701594,249
bias_corrected_det,249,16,47.97,62.21155429681319,62.14326907362638,37.77,32.68881316986264,32.72646051972528,1.0,0.0,0.0,32.68881316986264,0.0,0.0,-1568.0823677583107,249
bias_corrected_det,249,17,54.62,59.77027472634616,59.771978022692316,38.05,32.09226523689561,32.114590943791214,1.0,0.0,0.0,32.09226523689561,0.0,0.0,-1752.8795272392379,249
bias_corrected_det,249,18,59.84,68.33700377667581,68.33911625335163,38.3,34.36736867593407,34.373019571868134,1.0,0.0,0.0,34.36736867593407,0.0,0.0,-2056.5433415678945,249
bias_corrected_det,249,19,62.83,83.85242068472527,83.86484136945055,38.05,36.24603596873626,36.25007297747252,1.0,0.0,10.7825,25.46353596873626,0.0,677.464475,-1599.8739649156992,249
